"","date","Team","Opponent","Player","#","Pos","Age","Club","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"79","United States-November-29","Iran","IR","Christian Pulisic","10","LW","24-072","1.eng Chelsea","45","1","0","0","0","2","2","0","0","26","1","0","0","0.4","0.4","0.1","4","0","11","16","68.8","3","15","2","3","1"
"80","United States-November-29","Iran","IR","Brenden Aaronson","11","LM","22-038","1.eng Leeds United","45","0","0","0","0","0","0","0","0","25","0","1","1","0.0","0.0","0.2","2","0","7","13","53.8","4","13","1","5","1"
"81","United States-November-29","Iran","IR","Timothy Weah","21","RW,FW","22-280","1.fr Lille","81","0","0","0","0","2","1","0","0","40","0","0","1","0.2","0.2","0.0","2","0","26","30","86.7","0","26","0","1","1"
"82","United States-November-29","Iran","IR","Walker Zimmerman","3","CB","29-194","1.us Nashville","9","0","0","0","0","0","0","0","0","10","0","0","1","0.0","0.0","0.0","0","0","2","6","33.3","0","0","0","0","0"
"83","United States-November-29","Iran","IR","Weston McKennie","8","LM,CM","24-093","1.it Juventus","64","0","0","0","0","0","0","0","0","41","0","0","0","0.0","0.0","0.0","2","1","29","38","76.3","9","28","3","1","0"
"84","United States-November-29","Iran","IR","Kellyn Acosta","23","CM","27-128","1.us Los Angeles FC","26","0","0","0","0","0","0","0","0","6","2","0","0","0.0","0.0","0.0","0","0","3","4","75.0","0","2","0","0","0"
"85","United States-November-29","Iran","IR","Tyler Adams","4","CM","23-288","1.eng Leeds United","90","0","0","0","0","0","0","1","0","80","3","0","1","0.0","0.0","0.0","0","0","63","70","90.0","6","45","2","1","1"
"86","United States-November-29","Iran","IR","Yunus Musah","6","RM","20-000","1.es Valencia","90","0","0","0","0","2","0","0","0","69","4","1","4","0.2","0.2","0.0","3","0","44","51","86.3","7","39","2","6","2"
"87","United States-November-29","Iran","IR","Antonee Robinson","5","LB","25-113","1.eng Fulham","90","0","0","0","0","0","0","0","0","70","0","0","0","0.0","0.0","0.0","0","0","35","58","60.3","2","34","6","2","2"
"88","United States-November-29","Iran","IR","Tim Ream","13","CB","35-055","1.eng Fulham","90","0","0","0","0","0","0","0","0","67","0","1","0","0.0","0.0","0.0","1","0","54","59","91.5","8","41","1","0","0"
"89","United States-November-29","Iran","IR","Cameron Carter-Vickers","20","CB","24-333","1.sct Celtic","90","0","0","0","0","0","0","0","0","64","0","0","1","0.0","0.0","0.0","2","0","50","58","86.2","3","37","0","0","0"
"90","United States-November-29","Iran","IR","Sergiño Dest","2","RB","22-026","1.it Milan","81","0","1","0","0","2","0","0","0","69","0","1","0","0.1","0.1","0.4","4","1","42","54","77.8","5","41","1","6","4"
"91","United States-November-29","Iran","IR","Shaquell Moore","18","RB","26-027","1.us Nashville","9","0","0","0","0","0","0","0","0","12","2","0","0","0.0","0.0","0.0","0","0","2","7","28.6","0","4","0","0","0"
"92","United States-November-29","Iran","IR","Matt Turner","1","GK","28-158","1.eng Arsenal","90","0","0","0","0","0","0","0","0","34","0","0","0","0.0","0.0","0.0","0","0","30","35","85.7","0","16","0","0","0"
"93","December-3-2022","Netherlands","United States","Memphis","10","FW","28-293","1.es Barcelona","81","1","0","0","0","4","3","0","0","43","1","0","2","0.6","0.6","0.4","1","0","23","29","79.3","3","27","4","4","1"
